timestamp,open,high,low,close,volume,close_p1,close_p2,close_p3,close_p4,close_p5,close_p6,close_p7,close_p8,close_p9,close_p10,close_p11
2017-01-06 14:17:00+05:30,84.27,84.3,84.23,84.27,13515,84.27,84.3,84.43,84.47,84.47,84.5,84.4,84.5,84.47,84.3,84.2
2017-01-06 14:18:00+05:30,84.27,84.33,84.23,84.27,17682,84.3,84.43,84.47,84.47,84.5,84.4,84.5,84.47,84.3,84.2,84.13
2017-01-06 14:19:00+05:30,84.27,84.37,84.27,84.3,18045,84.43,84.47,84.47,84.5,84.4,84.5,84.47,84.3,84.2,84.13,84.1
2017-01-06 14:20:00+05:30,84.3,84.57,84.3,84.43,31377,84.47,84.47,84.5,84.4,84.5,84.47,84.3,84.2,84.13,84.1,84.17
2017-01-06 14:21:00+05:30,84.43,84.5,84.43,84.47,9573,84.47,84.5,84.4,84.5,84.47,84.3,84.2,84.13,84.1,84.17,84.13
2017-01-06 14:22:00+05:30,84.5,84.53,84.43,84.47,12368,84.5,84.4,84.5,84.47,84.3,84.2,84.13,84.1,84.17,84.13,84.1
2017-01-06 14:23:00+05:30,84.5,84.53,84.47,84.5,8033,84.4,84.5,84.47,84.3,84.2,84.13,84.1,84.17,84.13,84.1,84.13
2017-01-06 14:24:00+05:30,84.53,84.53,84.4,84.4,14771,84.5,84.47,84.3,84.2,84.13,84.1,84.17,84.13,84.1,84.13,84.13
2017-01-06 14:25:00+05:30,84.4,84.6,84.4,84.5,43862,84.47,84.3,84.2,84.13,84.1,84.17,84.13,84.1,84.13,84.13,84.17
2017-01-06 14:26:00+05:30,84.5,84.57,84.47,84.47,10143,84.3,84.2,84.13,84.1,84.17,84.13,84.1,84.13,84.13,84.17,84.17
2017-01-06 14:27:00+05:30,84.47,84.5,84.3,84.3,15765,84.2,84.13,84.1,84.17,84.13,84.1,84.13,84.13,84.17,84.17,84.17
2017-01-06 14:28:00+05:30,84.37,84.37,84.2,84.2,11105,84.13,84.1,84.17,84.13,84.1,84.13,84.13,84.17,84.17,84.17,84.13
2017-01-06 14:29:00+05:30,84.27,84.27,84.13,84.13,23222,84.1,84.17,84.13,84.1,84.13,84.13,84.17,84.17,84.17,84.13,84.17
2017-01-06 14:30:00+05:30,84.17,84.17,84.07,84.1,12557,84.17,84.13,84.1,84.13,84.13,84.17,84.17,84.17,84.13,84.17,84.23
2017-01-06 14:31:00+05:30,84.1,84.2,84.07,84.17,12336,84.13,84.1,84.13,84.13,84.17,84.17,84.17,84.13,84.17,84.23,84.17
2017-01-06 14:32:00+05:30,84.17,84.23,84.13,84.13,41558,84.1,84.13,84.13,84.17,84.17,84.17,84.13,84.17,84.23,84.17,84.17
2017-01-06 14:33:00+05:30,84.13,84.23,84.1,84.1,18471,84.13,84.13,84.17,84.17,84.17,84.13,84.17,84.23,84.17,84.17,84.13
2017-01-06 14:34:00+05:30,84.1,84.2,84.1,84.13,17552,84.13,84.17,84.17,84.17,84.13,84.17,84.23,84.17,84.17,84.13,84.23
2017-01-06 14:35:00+05:30,84.13,84.17,84.13,84.13,53925,84.17,84.17,84.17,84.13,84.17,84.23,84.17,84.17,84.13,84.23,84.17
2017-01-06 14:36:00+05:30,84.13,84.23,84.13,84.17,13649,84.17,84.17,84.13,84.17,84.23,84.17,84.17,84.13,84.23,84.17,84.17
